"platform","asset_type","text","character_count","destination_url"
"meta","primaryText","One command layer. Three operating tracks. Choose the OperatorOS stack built for your business.","95","https://operatoros.net/pricing"
"meta","primaryText","Service business, healthcare operations, or IT/MSP? Pick your track and run from one command layer.","99","https://operatoros.net/pricing"
"meta","primaryText","OperatorOS is $0. Paid tracks include 5 seats and one companion app. Build the stack you need.","94","https://operatoros.net/pricing"
"meta","primaryText","TechDeck is $99/mo. TradeFlowKit and PulseDesk are $149/mo. Each includes 5 seats + 1 companion app.","100","https://operatoros.net/pricing"
"meta","primaryText","Stop juggling disconnected tools. Sign in once, choose your track, and run your operation.","90","https://operatoros.net/pricing"
"meta","headlines","One OS. Three Operating Tracks.","31","https://operatoros.net/pricing"
"meta","headlines","Pick the Track Built for Your Work","34","https://operatoros.net/pricing"
"meta","headlines","OperatorOS Starts at $0","23","https://operatoros.net/pricing"
"meta","headlines","Build Your Operations Stack","27","https://operatoros.net/pricing"
"meta","descriptions","5 seats + 1 app included","24","https://operatoros.net/pricing"
"meta","descriptions","Choose your business track","26","https://operatoros.net/pricing"
"meta","descriptions","Build your stack","16","https://operatoros.net/pricing"
"linkedin","introText","One command layer. Three operating tracks. Choose the OperatorOS stack that matches how your organization actually works.","121","https://operatoros.net/pricing"
"linkedin","introText","TradeFlowKit for service revenue. PulseDesk for healthcare operations. TechDeck for IT and MSP teams. One OperatorOS login.","123","https://operatoros.net/pricing"
"linkedin","introText","OperatorOS is $0. Every paid main track includes 5 operator seats and one selectable companion application.","107","https://operatoros.net/pricing"
"linkedin","headlines","Choose the Operating Track Built for Your Business","50","https://operatoros.net/pricing"
"linkedin","headlines","One Command Layer for Revenue, Healthcare, or IT Operations","59","https://operatoros.net/pricing"
"linkedin","headlines","Build Your OperatorOS Stack","27","https://operatoros.net/pricing"
"linkedin","descriptions","Three main modules. One secure command layer.","45","https://operatoros.net/pricing"
"linkedin","descriptions","5 seats and one companion app included.","39","https://operatoros.net/pricing"
"linkedin","descriptions","Plans start at $99 per month.","29","https://operatoros.net/pricing"
"tiktok","adText","One command layer. Three business tracks. Pick yours.","53","https://operatoros.net/pricing"
"tiktok","adText","Revenue, healthcare ops, or IT/MSP? Build your stack.","53","https://operatoros.net/pricing"
"tiktok","adText","OperatorOS is $0. Paid tracks start at $99/month.","49","https://operatoros.net/pricing"
"tiktok","adText","Stop juggling tools. Start operating from one place.","52","https://operatoros.net/pricing"
"tiktok","displayName","OperatorOS","10","https://operatoros.net/pricing"
