"asset_type","text","character_count","maximum","destination_url"
"headline","One OS. Three Tracks.","21","30","https://operatoros.net/pricing"
"headline","OperatorOS Starts at $0","23","30","https://operatoros.net/pricing"
"headline","Pick Your Business Track","24","30","https://operatoros.net/pricing"
"headline","Run Work From One Login","23","30","https://operatoros.net/pricing"
"headline","Build Your Operations Stack","27","30","https://operatoros.net/pricing"
"headline","TradeFlowKit: $149/Month","24","30","https://operatoros.net/pricing"
"headline","PulseDesk: $149/Month","21","30","https://operatoros.net/pricing"
"headline","TechDeck: $99/Month","19","30","https://operatoros.net/pricing"
"headline","5 Operator Seats Included","25","30","https://operatoros.net/pricing"
"headline","One Companion App Included","26","30","https://operatoros.net/pricing"
"headline","Extra Apps: $29/Month","21","30","https://operatoros.net/pricing"
"headline","Extra Seats: $15/Month","22","30","https://operatoros.net/pricing"
"headline","Stop Juggling Business Apps","27","30","https://operatoros.net/pricing"
"headline","One Command Layer for Work","26","30","https://operatoros.net/pricing"
"headline","Build Your Stack Today","22","30","https://operatoros.net/pricing"
"long_headline","One command layer. Three operating tracks built around the way your business works.","83","90","https://operatoros.net/pricing"
"long_headline","Choose TradeFlowKit, PulseDesk, or TechDeck and run it through OperatorOS.","74","90","https://operatoros.net/pricing"
"description","OperatorOS is $0. Paid tracks include 5 seats and one companion application.","76","90","https://operatoros.net/pricing"
"description","Choose revenue, healthcare operations, or IT/MSP workflows. Build your stack.","77","90","https://operatoros.net/pricing"
"description","TechDeck starts at $99/month. TradeFlowKit and PulseDesk are $149/month.","72","90","https://operatoros.net/pricing"
"description","Add companion apps for $29/month and extra seats for $15/month each.","68","90","https://operatoros.net/pricing"
"business_name","OperatorOS","10","25","https://operatoros.net/pricing"
